,S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_VOLUME
114,000300.SH,20100625,2744.122,2759.445,2715.655,2736.287,30671782.0
115,000300.SH,20100628,2734.507,2751.455,2710.087,2716.777,27710044.0
116,000300.SH,20100629,2717.465,2724.231,2591.694,2592.019,48758552.0
117,000300.SH,20100630,2572.912,2575.824,2546.843,2563.07,35698794.0
118,000300.SH,20100701,2557.92,2574.098,2524.573,2526.071,32857646.0
119,000300.SH,20100702,2523.035,2542.122,2462.202,2534.105,44914100.0
120,000300.SH,20100705,2507.354,2529.425,2476.49,2512.651,32178574.0
121,000300.SH,20100706,2504.869,2563.411,2502.931,2562.902,39714762.0
122,000300.SH,20100707,2561.106,2580.608,2548.559,2580.477,35720909.0
123,000300.SH,20100708,2591.509,2602.23,2564.638,2575.921,34056966.0
124,000300.SH,20100709,2578.555,2662.163,2557.259,2647.104,58493045.0
125,000300.SH,20100712,2647.421,2689.809,2636.648,2676.218,58462491.0
126,000300.SH,20100713,2649.658,2649.658,2618.34,2634.593,43228506.0
127,000300.SH,20100714,2640.925,2684.616,2640.542,2653.609,46688860.0
128,000300.SH,20100715,2650.334,2680.442,2607.788,2608.519,40440459.0
129,000300.SH,20100716,2597.0,2621.332,2573.794,2616.128,35063302.0
130,000300.SH,20100719,2592.087,2691.937,2585.007,2682.472,53868070.0
131,000300.SH,20100720,2685.459,2746.237,2685.459,2741.503,73128345.0
132,000300.SH,20100721,2744.696,2766.205,2733.721,2747.335,70757092.0
133,000300.SH,20100722,2738.027,2783.138,2734.071,2781.286,61064806.0
134,000300.SH,20100723,2787.521,2806.979,2769.44,2793.076,64518565.0
135,000300.SH,20100726,2798.762,2811.953,2775.778,2811.055,53580026.0
136,000300.SH,20100727,2803.755,2812.208,2785.374,2795.724,49799884.0
137,000300.SH,20100728,2796.483,2866.404,2784.155,2863.724,79985954.0
138,000300.SH,20100729,2866.772,2888.599,2851.996,2877.976,95965409.0
139,000300.SH,20100730,2871.481,2876.136,2844.682,2868.846,62575591.0
140,000300.SH,20100802,2868.279,2922.612,2867.45,2917.275,71743300.0
141,000300.SH,20100803,2925.254,2929.614,2865.761,2865.971,81748364.0
142,000300.SH,20100804,2858.354,2876.595,2818.248,2876.434,71318039.0
143,000300.SH,20100805,2874.66,2877.31,2833.669,2850.829,67157581.0
144,000300.SH,20100806,2848.155,2898.534,2821.033,2897.659,74914895.0
145,000300.SH,20100809,2894.103,2922.624,2888.045,2918.241,74726391.0
146,000300.SH,20100810,2920.404,2925.296,2832.078,2832.638,78435034.0
147,000300.SH,20100811,2823.15,2864.361,2823.15,2850.211,54979133.0
148,000300.SH,20100812,2822.791,2860.369,2810.102,2816.386,59893227.0
149,000300.SH,20100813,2818.41,2856.043,2799.221,2855.547,58507721.0
150,000300.SH,20100816,2851.219,2927.688,2843.024,2922.083,81068043.0
151,000300.SH,20100817,2927.258,2949.73,2917.834,2942.291,76452912.0
152,000300.SH,20100818,2945.979,2962.749,2924.668,2937.362,70747600.0
153,000300.SH,20100819,2940.767,2975.188,2928.013,2955.395,76924865.0
154,000300.SH,20100820,2943.334,2951.956,2892.64,2898.333,71663306.0
155,000300.SH,20100823,2895.707,2920.541,2886.659,2896.192,48915517.0
156,000300.SH,20100824,2892.129,2933.118,2866.802,2911.827,61093796.0
157,000300.SH,20100825,2893.986,2904.662,2842.249,2843.023,63610621.0
158,000300.SH,20100826,2853.105,2868.878,2836.129,2850.093,48670442.0
159,000300.SH,20100827,2847.448,2861.074,2833.422,2858.566,40789582.0
160,000300.SH,20100830,2874.247,2921.085,2872.918,2915.01,65749882.0
161,000300.SH,20100831,2905.154,2910.06,2889.808,2903.188,65766104.0
162,000300.SH,20100901,2907.663,2931.76,2859.166,2884.042,76975578.0
163,000300.SH,20100902,2917.735,2931.547,2903.028,2921.393,70700851.0
164,000300.SH,20100903,2926.939,2929.548,2891.878,2920.205,72641027.0
165,000300.SH,20100906,2935.89,2980.424,2935.89,2975.09,93855681.0
166,000300.SH,20100907,2979.298,2991.435,2959.902,2983.108,73519361.0
167,000300.SH,20100908,2970.002,2982.72,2953.839,2980.967,72872002.0
168,000300.SH,20100909,2986.867,2986.867,2922.2,2926.46,81395554.0
169,000300.SH,20100910,2928.001,2940.79,2890.035,2932.554,65086704.0
170,000300.SH,20100913,2933.594,2977.078,2925.416,2962.319,67279900.0
171,000300.SH,20100914,2971.547,2984.466,2954.507,2965.009,70105903.0
172,000300.SH,20100915,2965.539,2965.539,2905.63,2913.194,71619642.0
173,000300.SH,20100916,2908.322,2917.849,2834.033,2857.789,74074284.0
174,000300.SH,20100917,2864.717,2877.083,2847.681,2861.369,51938867.0
175,000300.SH,20100920,2865.04,2872.219,2829.757,2849.828,50283104.0
176,000300.SH,20100921,2859.43,2869.38,2844.125,2857.476,35751881.0
177,000300.SH,20100927,2869.928,2905.526,2864.209,2905.029,49071823.0
178,000300.SH,20100928,2900.536,2900.536,2875.658,2880.907,58660826.0
179,000300.SH,20100929,2877.269,2908.732,2866.854,2874.812,56782236.0
180,000300.SH,20100930,2859.06,2935.595,2857.418,2935.574,63000247.0
181,000300.SH,20101008,2965.652,3055.836,2963.237,3044.233,99994720.0
182,000300.SH,20101011,3069.188,3154.204,3069.188,3132.895,158734904.0
183,000300.SH,20101012,3121.636,3173.849,3106.224,3172.726,127361705.0
184,000300.SH,20101013,3176.886,3221.646,3165.578,3217.577,144607773.0
185,000300.SH,20101014,3245.133,3286.023,3215.031,3224.14,179611838.0
186,000300.SH,20101015,3204.723,3327.683,3199.122,3327.683,193414140.0
187,000300.SH,20101018,3345.804,3390.015,3288.781,3306.16,217882051.0
188,000300.SH,20101019,3300.517,3375.867,3279.999,3375.674,130441791.0
189,000300.SH,20101020,3304.221,3439.225,3301.009,3396.879,166528460.0
190,000300.SH,20101021,3404.721,3418.091,3344.962,3374.685,123883245.0
191,000300.SH,20101022,3365.597,3408.491,3346.111,3378.655,116361857.0
192,000300.SH,20101025,3386.85,3481.347,3366.43,3481.081,145433105.0
193,000300.SH,20101026,3491.474,3499.817,3436.463,3466.084,142636999.0
194,000300.SH,20101027,3451.427,3490.217,3398.095,3403.872,123761570.0
195,000300.SH,20101028,3390.426,3420.885,3371.439,3397.692,98349456.0
196,000300.SH,20101029,3400.262,3404.6,3351.601,3379.983,100458970.0
197,000300.SH,20101101,3390.413,3472.995,3390.413,3472.995,126269148.0
198,000300.SH,20101102,3484.232,3522.175,3449.724,3463.131,154911450.0
199,000300.SH,20101103,3462.74,3474.707,3419.08,3420.341,126359303.0
200,000300.SH,20101104,3426.46,3480.929,3419.643,3480.505,116799481.0
201,000300.SH,20101105,3538.988,3554.47,3498.276,3520.798,137688027.0
202,000300.SH,20101108,3534.191,3549.305,3506.375,3548.566,126470759.0
203,000300.SH,20101109,3547.44,3547.44,3498.623,3523.954,122454533.0
204,000300.SH,20101110,3507.195,3508.275,3470.968,3499.111,120078578.0
205,000300.SH,20101111,3490.738,3557.987,3484.891,3509.975,138976233.0
206,000300.SH,20101112,3484.606,3497.061,3284.348,3291.833,160733850.0
207,000300.SH,20101115,3298.737,3319.976,3241.758,3314.893,102315724.0
